^yb1 ䷀乾:	Qian:
象傳:	Xiang Zhuan:
水洊至，習坎；	(The representation of) water flowing on continuously forms the repeated Kan. 
君子以常德行，習教事。	The superior man, in accordance with this, maintains constantly the virtue (of his heart) and (the integrity of) his conduct, and practises the business of instruction.
2 ䷜坎:	Kan:
初六：習坎，入于坎窞，凶。	The first SIX, divided, shows its subject in the double defile, and (yet) entering a cavern within it. There will be evil.
象傳:	Xiang Zhuan:
習坎入坎，失道凶也。	'In the double defile, he enters a cavern within it:' - he has missed his (proper) way, and there will be evil.
3 ䷜坎:	Kan:
九二：坎有險，求小得。	The second NINE, undivided, shows its subject in all the peril of the defile. He will, however, get a little (of the deliverance) that he seeks.
象傳:	Xiang Zhuan:
求小得，未出中也。	'He will get a little (of the deliverance) that he seeks:' - he will not yet escape from his environed position.
4 ䷜坎:	Kan:
六三：來之坎坎，險且枕，入于坎窞，勿用。	The third SIX, divided, shows its subject, whether he comes or goes ( =descends or ascends), confronted by a defile. All is peril to him and unrest. (His endeavours) will lead him into the cavern of the pit. There should be no action (in such a case).
象傳:	Xiang Zhuan:
來之坎坎，終无功也。	'Whether he comes or goes, he is confronted by a defile:' - he will never (in such circumstances) achieve any success.
5 ䷜坎:	Kan:
六四：樽酒簋貳，用缶，納約自牖，終无咎。	The fourth SIX, divided, shows its subject (at a feast), with (simply) a bottle of spirits, and a subsidiary basket of rice, while (the cups and bowls) are (only) of earthenware. He introduces his important lessons (as his ruler's) intelligence admits. There will in the end be no error.
象傳:	Xiang Zhuan:
樽酒簋貳，剛柔際也。	'(Nothing but) a bottle of spirits and a subsidiary basket of rice:' - (these describe) the meeting at this point of (those who are represented by) the strong and weak lines.
6 ䷜坎:	Kan:
九五：坎不盈，祗既平，无咎。	The fifth NINE, undivided, shows the water of the defile not yet full, (so that it might flow away); but order will (soon) be brought about. There will be no error.
象傳:	Xiang Zhuan:
坎不盈，中未大也。	'The water in the defile is not full (so as to flow away):' - (the virtue indicated by) the central situation is not yet (sufficiently) great.
7 ䷜坎:	Kan:
上六：係用徽纆，寘于叢棘，三歲不得，凶。	The topmost SIX, divided, shows its subject bound with cords of three strands or two strands, and placed in the thicket of thorns. But in three years he does not learn the course for him to pursue. There will be evil.
象傳:	Xiang Zhuan:
上六失道，凶三歲也。	'The sixth line, divided, shows its subject missing his (proper) course:' - 'there will be evil for three years.'
^yb30 ䷝離:	Li:
離：利貞，亨。畜牝牛，吉。	Li indicates that, (in regard to what it denotes), it will be advantageous to be firm and correct, and that thus there will be free course and success. Let (its subject) also nourish (a docility like that of) the cow, and there will be good fortune.
彖傳:	Tuan Zhuan:
離，麗也；	Li means being attached to. 
日月麗乎天，	The sun and moon have their place in the sky. 
百穀草木麗乎土，	All the grains, grass, and trees have their place on the earth. 
重明以麗乎正，乃化成天下。	The double brightness (of the two trigrams) adheres to what is correct, and the result is the transforming and perfecting all under the sky. 
柔麗乎中正，故亨；	The weak (second line) occupies the middle and correct position, and gives the indication of 'a free and successful course;' 
是以畜牝牛吉也。	and, moreover, 'nourishing (docility like that of) the cow' will lead to good fortune.
象傳:	Xiang Zhuan:
明兩作離，大人以繼明照于四方。	(The trigram for) brightness, repeated, forms Li. The great man, in accordance with this, cultivates more and more his brilliant (virtue), and diffuses its brightness over the four quarters (of the land).
2 ䷝離:	Li:
初九：履錯然，敬之无咎。	The first NINE, undivided, shows one ready to move with confused steps. But he treads at the same time reverently, and there will be no mistake.
象傳:	Xiang Zhuan:
履錯之敬，以辟咎也。	'The reverent attention directed to his confused steps' is the way by which error is avoided.
3 ䷝離:	Li:
六二：黃離，元吉。	The second SIX, divided, shows its subject in his place in yellow. There will be great good fortune.
象傳:	Xiang Zhuan:
黃離元吉，得中道也。	'The great good fortune (from the subject of the second line) occupying his place in yellow' is owing to his holding the course of the due mean.
4 ䷝離:	Li:
九三：日昃之離，	The third NINE, undivided, shows its subject in a position like that of the declining sun. 
不鼓缶而歌，則大耋之嗟，凶。	Instead of playing on his instrument of earthenware, and singing to it, he utters the groans of an old man of eighty. There will be evil.
象傳:	Xiang Zhuan:
日昃之離，何可久也。	'A position like that of the declining sun:' - how can it continue long?
5 ䷝離:	Li:
九四：突如其來如，焚如，死如，棄如。	The fourth NINE, undivided, shows the manner of its subject's coming. How abrupt it is, as with fire, with death, to be rejected (by all)!
象傳:	Xiang Zhuan:
突如其來如，无所容也。	'How abrupt is the manner of his coming!' - none can bear with him.
6 ䷝離:	Li:
六五：出涕沱若，戚嗟若，吉。	The fifth SIX, divided, shows its subject as one with tears flowing in torrents, and groaning in sorrow. There will be good fortune.
象傳:	Xiang Zhuan:
六五之吉，離王公也。	'The good fortune attached to the fifth SIX, divided),' is due to its occupying the place of a king or a prince.
7 ䷝離:	Li:
上九：王用出征，有嘉折首，獲匪其醜，无咎。	The topmost NINE, undivided, shows the king employing its subject in his punitive expeditions. Achieving admirable (merit), he breaks (only) the chiefs (of the rebels). Where his prisoners were not their associates, he does not punish. There will be no error.
象傳:	Xiang Zhuan:
王用出征，以正邦也。	'The king employs him in his punitive expeditions:' - the object is to bring the regions to a correct state.
^yb31 ䷞咸:	Xian:
咸，亨，利貞，取女吉。	Xian indicates that, (on the fulfilment of the conditions implied in it), there will be free course and success. Its advantageousness will depend on the being firm and correct, (as) in marrying a young lady. There will be good fortune.
彖傳:	Tuan Zhuan:
咸，感也。	Xian is here used in the sense of Kan, meaning (mutually) influencing. 
柔上而剛下，二氣感應以相與，	The weak (trigram) above, and the strong one below; their two influences moving and responding to each other, and thereby forming a union; 
止而說，男下女，	the repression (of the one) and the satisfaction (of the other); (with their relative position), where the male is placed below the female: - 
是以亨利貞，取女吉也。	all these things convey the notion of 'a free and successful course (on the fulfilment of the conditions), while the advantage will depend on being firm and correct, as in marrying a young lady, and there will be good fortune.' 
天地感而萬物化生，	Heaven and earth exert their influences, and there ensue the transformation and production of all things. 
聖人感人心而天下和平，	The sages influence the minds of men, and the result is harmony and peace all under the sky. 
觀其所感，而天地萬物之情可見矣。	If we look at (the method and issues) of those influences, the true character of heaven and earth and of all things can be seen.
象傳:	Xiang Zhuan:
山上有澤，咸，君子以虛受人。	(The trigram representing) a mountain and above it that for (the waters of) a marsh form Xian. The superior man, in accordance with this, keeps his mind free from pre-occupation, and open to receive (the influences of) others.
2 ䷞咸:	Xian:
初六，咸其拇。	The first six, divided, shows one moving his great toes.
象傳:	Xiang Zhuan:
咸其拇，志在外也。	'He moves his great toe:' - his mind is set on what is beyond (himself).
3 ䷞咸:	Xian:
六二，咸其腓，凶，居吉。	The second SIX, divided, shows one moving the calves of his leg. There will be evil. If he abide (quiet in his place), there will be good fortune.
象傳:	Xiang Zhuan:
雖凶居吉，順不害也。	Though 'there would be evil; yet, if he abide (quiet) in his place, there will be good fortune:' - through compliance (with the circumstances of his condition and place) there will be no injury.
4 ䷞咸:	Xian:
九三，咸其股，執其隨，往吝。	The third NINE, undivided, shows one moving his thighs, and keeping close hold of those whom he follows. Going forward (in this way) will cause regret.
象傳:	Xiang Zhuan:
咸其股，亦不處也。	'He moves his thighs:' - he still does not (want to) rest in his place. 
志在隨人，所執下也。	His will is set on 'following others:' - what he holds in his grasp is low.
5 ䷞咸:	Xian:
九四，貞吉，悔亡，憧憧往來，朋從爾思。	The fourth NINE, undivided, shows that firm correctness whi.ch will lead to good fortune, and prevent all occasion for repentance. If its subject be unsettled in his movements, (only) his friends will follow his purpose.
象傳:	Xiang Zhuan:
貞吉悔亡，未感害也。	'Firm correctness will lead to good fortune, and prevent all occasion for repentance:' - there has not yet been any harm from (a selfish wish to) influence. 
憧憧往來，未光大也。	'He is unsettled in his movements:'(his power to influence) is not yet either brilliant or great.
6 ䷞咸:	Xian:
九五，咸其脢，无悔。	The fifth NINE, undivided, shows one moving the flesh along the spine above the heart. There will be no occasion for repentance.
象傳:	Xiang Zhuan:
咸其脢，志末也。	'He (tries to) move the flesh along the spine above the heart:' - his aim is trivial.
7 ䷞咸:	Xian:
上六，咸其輔頰舌。	The sixth six, divided, shows one moving his jaws and tongue.
象傳:	Xiang Zhuan:
咸其輔頰舌，滕口說也。	'He moves his jaws and tongue:' - he (only) talks with loquacious mouth.
^yb32 ䷟恆:	Heng:
恆：亨，无咎，利貞，利有攸往。	Heng indicates successful progress and no error (in what it denotes). But the advantage will come from being firm and correct; and movement in any direction whatever will be advantageous.
彖傳:	Tuan Zhuan:
恆，久也。	Heng denotes long continuance. 
剛上而柔下，雷風相與，	The strong (trigram) is above, and the weak one below; (they are the symbols of) thunder and wind, which are in mutual communication; 
巽而動，剛柔皆應，恆。	(they have the qualities of) docility and motive force; their strong and weak (lines) all respond, each to the other: - these things are all found in Heng. 
恆亨无咎，利貞；	(When it is said that) 'Heng indicates successful progress and no error (in what it denotes); but the advantage will come from being firm and correct,' 
久於其道也，	this indicates that there must be long continuance in its way of operation. 
天地之道，恆久而不已也。	The way of heaven and earth is to be long continued in their operation without stopping. 
利有攸往，終則有始也。	(When it is said that) 'Movement in any direction whatever will be advantageous,' this implies that when (the moving power) is spent, it will begin again. 
日月得天，而能久照，	The sun and moon, realising in themselves (the course of Heaven), can perpetuate their shining. 
四時變化，而能久成，	The four seasons, by their changing and transforming, can perpetuate their production (of things). 
聖人久於其道，而天下化成；	The sages persevere long in their course, and all under the sky are transformed and perfect. 
觀其所恆，而天地萬物之情可見矣！	When we look at what they continue doing long, the natural tendencies of heaven, earth, and all things can be seen.
象傳:	Xiang Zhuan:
雷風，恆；君子以立不易方。	(The trigram representing) thunder and that for wind form Heng. The superior man, in accordance with this, stands firm, and does not change his method (of operation).
2 ䷟恆:	Heng:
初六：浚恆，貞凶，无攸利。	The first SIX, divided, shows its subject deeply (desirous) of long continuance. Even with firm correctness there will be evil; there will be no advantage in any way.
象傳:	Xiang Zhuan:
浚恆之凶，始求深也。	'The evil attached to the deep desire for long continuance (in the subject of the first line)' arises from the deep seeking for it at the commencement (of things).
3 ䷟恆:	Heng:
九二：悔亡。	The second NINE, undivided, shows all occasion for repentance disappearing.
象傳:	Xiang Zhuan:
九二悔亡，能久中也。	'All occasion for repentance on the part of the subject of the second NINE, (undivided,), disappears:' - he can abide long in the due mean.
4 ䷟恆:	Heng:
九三：不恆其德，或承之羞，貞吝。	The third NINE, undivided, shows one who does not continuously maintain his virtue. There are those who will impute this to him as a disgrace. However firm he may be, there will be ground for regret.
象傳:	Xiang Zhuan:
不恆其德，无所容也。	'He does not continuously maintain his virtue:' - nowhere will he be borne with.
5 ䷟恆:	Heng:
九四：田无禽。	The fourth NINE, undivided, shows a field where there is no game.
象傳:	Xiang Zhuan:
久非其位，安得禽也。	(Going) for long to what is not his proper place, how can he get game?
6 ䷟恆:	Heng:
六五：恆其德，貞，婦人吉，夫子凶。	The fifth SIX, divided, shows its subject continuously maintaining the virtue indicated by it. In a wife this will be fortunate; in a husband, evil.
象傳:	Xiang Zhuan:
婦人貞吉，從一而終也。	'Such firm correctness in a wife will be fortunate:' - it is hers to the end of life to follow with an unchanged mind. 
夫子制義，從婦凶也。	The husband must decide what is right, and lay down the rule accordingly: - for him to follow (like) a wife is evil.
7 ䷟恆:	Heng:
上六：振恆，凶。	The topmost SIX, divided, shows its subject exciting himself to long continuance. There will be evil.
象傳:	Xiang Zhuan:
振恆在上，大无功也。	'The subject of the topmost line is exciting himself to long continuance:' - far will he be from achieving merit.
^yb33 ䷠遯:	Dun:
遯：亨，小利貞。	Dun indicates successful progress (in its circumstances). To a small extent it will (still) be advantageous to be firm and correct.
彖傳:	Tuan Zhuan:
遯亨，遯而亨也。	'Dun indicates successful progress:' - that is, in the very retiring which Dun denotes there is such progress. 
剛當位而應，與時行也。	The strong (line) is in the ruling place, (the fifth), and is properly responded to (by the second line). The action takes place according to (the requirement of) the time. 
小利貞，浸而長也。	'To a small extent it will (still) be advantageous to be firm and correct:' - (the small men) are gradually encroaching and advancing. 
遯之時義大矣哉！	Great indeed is the significance of (what is required to be done in) the time that necessitates retiring.
象傳:	Xiang Zhuan:
天下有山，遯；	(The trigram representing) the sky and below it that for a mountain form Dun. 
君子以遠小人，不惡而嚴。	The superior man, in accordance with this, keeps small men at a distance, not by showing that he hates them, but by his own. dignified gravity.
2 ䷠遯:	Dun:
初六：遯尾，厲，勿用有攸往。	The first SIX, divided, shows a retiring tail. The position is perilous. No movement in any direction should be made.
象傳:	Xiang Zhuan:
遯尾之厲，不往何災也。	There is 'the perilousness of the position shown by the retiring tail:' - but if 'no movement' be made, what disaster can there be?
3 ䷠遯:	Dun:
六二：執之用黃牛之革，莫之勝說。	The second SIX, divided, shows its subject holding (his purpose) fast as if by a (thong made from the) hide of a yellow ox, which cannot be broken.
象傳:	Xiang Zhuan:
執用黃牛，固志也。	'He holds it as; by (a thong from the hide of) a yellow ox:' - his purpose is firm.
4 ䷠遯:	Dun:
九三：係遯，有疾厲，畜臣妾吉。	The third NINE, undivided, shows one retiring but bound,--to his distress and peril. (If he were to deal with his binders as in) nourishing a servant or concubine, it would be fortunate for him.
象傳:	Xiang Zhuan:
係遯之厲，有疾憊也。	'The peril connected with the case of one retiring, though bound,' is due to the (consequent) distress and exhaustion. 
畜臣妾吉，不可大事也。	'If he were (to deal as in) nourishing a servant or concubine, it would be fortunate for him:' - but a great affair cannot be dealt with in this way.
5 ䷠遯:	Dun:
九四：好遯，君子吉，小人否。	The fourth NINE, undivided, shows its subject retiring notwithstanding his likings. In a superior man this will lead to good fortune; a small man cannot attain to this.
象傳:	Xiang Zhuan:
君子好遯，小人否也。	'A superior man retires notwithstanding his likings; a small man cannot attain to this.'
6 ䷠遯:	Dun:
九五：嘉遯，貞吉。	The fifth NINE, undivided, shows its subject retiring in an admirable way. With firm correctness there will be good fortune.
象傳:	Xiang Zhuan:
嘉遯貞吉，以正志也。	'He retires in an admirable way, and with firm correctness there will be good fortune:' - this is due to the rectitude of his purpose.
7 ䷠遯:	Dun:
上九：肥遯，无不利。	The sixth NINE, undivided, shows its subject retiring in a noble way. It will be advantageous in every respect.
象傳:	Xiang Zhuan:
肥遯，无不利；无所疑也。	'He retires in a noble way, and his doing so will be advantageous in every respect:' - he who does so has no doubts about his course.
^yb34 ䷡大壯:	Da Zhuang:
大壯：利貞。	Da Zhuang indicates that (under the conditions which it symbolises) it will be advantageous to be firm and correct.
彖傳:	Tuan Zhuan:
大壯，大者壯也。	In Da Zhuang we see that which is great becoming strong. 
剛以動，故壯。	We have the (trigram) denoting strength directing that which denotes movement, and hence (the whole) is expressive of vigour. 
大壯利貞；大者正也。	'Da Zhuang indicates that it will be advantageous to be firm and correct:' - that which is great (should be) correct. 
正大而天地之情可見矣！	Given correctness and greatness (in their highest degree), and the character and tendencies of heaven and earth can be seen.
象傳:	Xiang Zhuan:
雷在天上，大壯；	(The trigram representing) heaven and above it that for thunder form Da Zhuang. 
君子以非禮勿履。	The superior man, in accordance with this, does not take a step which is not according to propriety.
2 ䷡大壯:	Da Zhuang:
初九：壯于趾，征凶，有孚。	The first NINE, undivided, shows its subject manifesting his strength in his toes. But advance will lead to evil,--most certainly.
象傳:	Xiang Zhuan:
壯于趾，其孚窮也。	'He manifests his vigour in his toes:' - this will certainly lead to exhaustion.
3 ䷡大壯:	Da Zhuang:
九二：貞吉。	The second NINE, undivided, shows that with firm correctness there will be good fortune.
象傳:	Xiang Zhuan:
九二貞吉，以中也。	'The second NINE, (undivided), shows that with firm correctness there will be good fortune:' - this is due to its being in the centre, (and its subject exemplifying the due mean).
4 ䷡大壯:	Da Zhuang:
九三：小人用壯，君子用罔，貞厲。	The third NINE, undivided, shows, in the case of a small man, one using all his strength; and in the case of a superior man, one whose rule is not to do so. Even with firm correctness the position would be perilous. 
羝羊觸藩，羸其角。	(The exercise of strength in it might be compared to the case of) a ram butting against a fence, and getting his horns entangled.
象傳:	Xiang Zhuan:
小人用壯，君子罔也。	'The small man uses all his strength; in the case of the superior man it is his rule not to do so.'
5 ䷡大壯:	Da Zhuang:
九四：貞吉悔亡，藩決不羸，壯于大輿之輹。	The fourth NINE, undivided, shows (a case in which) firm correctness leads to good fortune, and occasion for repentance disappears. (We see) the fence opened without the horns being entangled. The strength is like that in the wheel-spokes of a large waggon.
象傳:	Xiang Zhuan:
藩決不羸，尚往也。	'The fence is opened and the horns are not entangled:' - (the subject of the line) still advances.
6 ䷡大壯:	Da Zhuang:
六五：喪羊于易，无悔。	The fifth SIX, divided, shows one who loses his ram(-like strength) in the ease of his position. (But) there will be no occasion for repentance.
象傳:	Xiang Zhuan:
喪羊于易，位不當也。	'He loses his ram and hardly perceives it:' - he is not in his appropriate place.
7 ䷡大壯:	Da Zhuang:
上六：羝羊觸藩，不能退，不能遂，无攸利，艱則吉。	The sixth SIX, divided, shows (one who may be compared to) the ram butting against the fence, and unable either to retreat, or to advance as he would fain do. There will not be advantage in any respect; but if he realise the difficulty (of his position), there will be good fortune.
象傳:	Xiang Zhuan:
不能退，不能遂，不祥也。	'He is unable either to retreat or to advance:' - this is owing to his want of care. 
艱則吉，咎不長也。	'If he realise the difficulty (of his position), there will be good fortune:' - his error will not be prolonged.
^yb35 ䷢晉:	Jin:
晉：康侯用錫馬蕃庶，晝日三接。	In Jin we see a prince who secures the tranquillity (of the people) presented on that account with numerous horses (by the king), and three times in a day received at interviews.
彖傳:	Tuan Zhuan:
晉，進也。	Jin denotes advancing. 
明出地上，順而麗乎大明，柔進而上行。	(In Jin we have) the bright (sun) appearing above the earth; (the symbol of) docile submission cleaving to that of the Great brightness; and the weak line advanced and moving above: 
是以康侯用錫馬蕃庶，晝日三接也。	- all these things give us the idea of 'a prince who secures the tranquillity (of the people), presented on that account with numerous horses (by the king), and three times in a day received at interviews.'
象傳:	Xiang Zhuan:
明出地上，晉；君子以自昭明德。	(The trigram representing) the earth and that for the bright (sun) coming forth above it form Jin. The superior man, according to this, gives himself to make more brilliant his bright virtue.
2 ䷢晉:	Jin:
初六：晉如，摧如，貞吉。	The first SIX, divided, shows one wishing to advance, and (at the same time) kept back. Let him be firm and correct, and there will be good fortune. 
罔孚，裕无咎。	If trust be not reposed in him, let him maintain a large and generous mind, and there will be no error.
象傳:	Xiang Zhuan:
晉如，摧如；獨行正也。	'He appears wishing to advance, but (at the same time) being kept back:' - all-alone he pursues the correct course. 
裕无咎；未受命也。	'Let him maintain a large and generous mind, and there will be no error:' - he has not yet received an official charge.
3 ䷢晉:	Jin:
六二：晉如，愁如，貞吉。	The second SIX, divided, shows its subject with the appearance of advancing, and yet of being sorrowful. If he be firm and correct, there will be good fortune. 
受茲介福，于其王母。	He will receive this great blessing from his grandmother.
象傳:	Xiang Zhuan:
受玆介福，以中正也。	'He will receive this great blessing:' - for he is in the central place and the correct position for him.
4 ䷢晉:	Jin:
六三：眾允，悔亡。	The third SIX, divided, shows its subject trusted by all (around him). All occasion for repentance will disappear.
象傳:	Xiang Zhuan:
眾允之，志上行也。	'All (around) trust him:' - their (common) aim is to move upwards and act.
5 ䷢晉:	Jin:
九四：晉如碩鼠，貞厲。	The fourth NINE, undivided, shows its subject with the appearance of advancing, but like a marmot. However firm and correct he may be, the position is one of peril.
象傳:	Xiang Zhuan:
碩鼠貞厲，位不當也。	'(He advances like) a marmot. However firm and correct he may be, his position is one of peril:' - his place is not that appropriate for him.
6 ䷢晉:	Jin:
六五：悔亡，失得勿恤，往吉，无不利。	The fifth SIX, divided, shows how all occasion for repentance disappears (from its subject). (But) let him not concern himself about whether he shall fail or succeed. To advance will be fortunate, and in every way advantageous.
象傳:	Xiang Zhuan:
失得勿恤，往有慶也。	'Let him not concern himself whether he fails or succeeds:' - his movement in advance will afford ground for congratulation.
7 ䷢晉:	Jin:
上九：晉其角，維用伐邑，厲吉无咎，貞吝。	The topmost NINE, undivided, shows one advancing his horns. But he only uses them to punish the (rebellious people of his own) city. The position is perilous, but there will be good fortune. (Yet) however firm and correct he may be, there will be occasion for regret.
象傳:	Xiang Zhuan:
維用伐邑，道未光也。	'He uses his horns only to punish (the rebellious people of) his city:' - his course of procedure is not yet brilliant.
^yb36 ䷣明夷:	Ming Yi:
明夷：利艱貞。	Ming Yi indicates that (in the circumstances which it denotes) it will be advantageous to realise the difficulty (of the position), and maintain firm correctness.
彖傳:	Tuan Zhuan:
明入地中，明夷。	(The symbol of) the Earth and that of Brightness entering into the midst of it give the idea of Ming Yi (Brightness wounded or obscured). 
內文明而外柔順，	The inner (trigram) denotes being accomplished and bright; the outer, being pliant and submissive. 
以蒙大難，文王以之。	The case of king Wen was that of one who with these qualities was yet involved in great difficulties. 
利艱貞，晦其明也，	'It will be advantageous to realise the difficulty (of the position), and maintain firm correctness: - that is, (the individual concerned) should obscure his brightness. 
內難而能正其志，箕子以之。	The case of the count of K? was that of one who, amidst the difficulties of his House, was able (thus) to maintain his aim and mind correct.
象傳:	Xiang Zhuan:
明入地中，明夷；	(The trigram representing) the earth and that for the bright (sun) entering within it form Ming Yi. 
君子以蒞眾，用晦而明。	The superior man, in accordance with this, conducts his management of men; - he shows his intelligence by keeping it obscured.
2 ䷣明夷:	Ming Yi:
初九：明夷于飛，垂其翼。	The first NINE, undivided, shows its subject, (in the condition indicated by) Ming Yi, flying, but with drooping wings. 
君子于行，三日不食，	When the superior man (is revolving) his going away, he may be for three days without eating. 
有攸往，主人有言。	Wherever he goes, the people there may speak (derisively of him).
象傳:	Xiang Zhuan:
君子于行，義不食也。	'The superior man (is revolving his) going away:' - (in such a case) he feels it right not to eat.
3 ䷣明夷:	Ming Yi:
六二：明夷，夷于左股，用拯馬壯，吉。	The second SIX, divided, shows its subject, (in the condition indicated by) Ming Yi, wounded in the left thigh. He saves himself by the strength of a (swift) horse; and is fortunate.
象傳:	Xiang Zhuan:
六二之吉，順以則也。	'The good fortune of (the subject of) the second SIX, divided,' is due to the proper fashion of his acting according to his circumstances.
4 ䷣明夷:	Ming Yi:
九三：明夷于南狩，得其大首，不可疾貞。	The third NINE, undivided, shows its subject, (in the condition indicated by) Ming Yi, hunting in the south, and taking the great chief (of the darkness). He should not be eager to make (all) correct (at once).
象傳:	Xiang Zhuan:
南狩之志，乃大得也。	With the aim represented by 'hunting in the south' a great achievement is accomplished.
5 ䷣明夷:	Ming Yi:
六四：入于左腹，	The fourth six, divided, shows its subject (just) entered into the left side of the belly (of the dark land). 
獲明夷之心，出于門庭。	(But) he is able to carry out the mind appropriate (in the condition indicated by) Ming Yi, quitting the gate and courtyard (of the lord of darkness).
象傳:	Xiang Zhuan:
入于左腹，獲心意也。	'He has (just) entered into the left side of the belly (of the dark land):' - he is still able to carry out the idea in his (inner) mind.
6 ䷣明夷:	Ming Yi:
六五：箕子之明夷，利貞。	The fifth six, divided, shows how the count of K? fulfilled the condition indicated by Ming Yi. It will be advantageous to be firm and correct.
象傳:	Xiang Zhuan:
箕子之貞，明不可息也。	'With the firm correctness of the count of K?,' his brightness could not be (quite) extinguished.
7 ䷣明夷:	Ming Yi:
上六：不明晦，初登于天，後入于地。	The sixth six, divided, shows the case where there is no light, but (only) obscurity. (Its subject) had at first ascended to (the top of) the sky; his future shall be to go into the earth.
象傳:	Xiang Zhuan:
初登于天，照四國也。	'He had at first ascended to (the top of) the sky:' - he might have enlightened the four quarters of the kingdom. 
後入于地，失則也。	'His future shall be to go into the earth:' - he has failed to fulfil the model (of a ruler).
^yb37 ䷤家人:	Jia Ren:
家人：利女貞。	For (the realisation of what is taught in) Jia Ren, (or for the regulation of the family), what is most advantageous is that the wife be firm and correct.
彖傳:	Tuan Zhuan:
家人，女正位乎內，男正位乎外，	In Jia Ren the wife has her correct place in the inner (trigram), and the man his correct place in the outer. 
男女正，天地之大義也。	That man and woman occupy their correct places is the great righteousness shown (in the relation and positions of) heaven and earth. 
家人有嚴君焉，父母之謂也。	In Jia Ren we have the idea of an authoritative ruler; - that, namely, represented by the parental authority. 
父父，子子，兄兄，弟弟，夫夫，婦婦，	Let the father be indeed father, and the son son; let the elder brother be indeed elder brother, and the younger brother younger brother, let the husband be indeed husband, and the wife wife: - 
而家道正；正家而天下定矣。	then will the family be in its normal state. Bring the family to that state, and all under heaven will be established.
象傳:	Xiang Zhuan:
風自火出，家人；	(The trigram representing) fire, and that for wind coming forth from it, form Jia Ren. 
君子以言有物，而行有恆。	The superior man, in accordance with this, orders his words according to (the truth of) things, and his conduct so that it is uniformly consistent.
2 ䷤家人:	Jia Ren:
初九：閑有家，悔亡。	The first NINE, undivided, shows its subject establishing restrictive regulations in his household Occasion for repentance will disappear.
象傳:	Xiang Zhuan:
閑有家，志未變也。	'He establishes restrictive regulations in his household: - (he does so), before any change has taken place in their wills.
3 ䷤家人:	Jia Ren:
六二：无攸遂，在中饋，貞吉。	The second SIX, divided, shows its subject taking nothing on herself, but in her central place attending to the preparation of the food. Through her firm correctness there will be good fortune.
象傳:	Xiang Zhuan:
六二之吉，順以巽也。	'The good fortune attached to the second six, (divided),' is due to the docility (of its subject), operating with humility.
4 ䷤家人:	Jia Ren:
九三：家人嗃嗃，悔厲吉；	The third NINE, undivided, shows its subject (treating) the members of the household with stern severity. There will be occasion for repentance, there will be peril, (but) there will (also) be good fortune. 
婦子嘻嘻，終吝。	If the wife and children were to be smirking and chattering, in the end there would be occasion for regret.
象傳:	Xiang Zhuan:
家人嗃嗃，未失也；	When 'the members of the household are treated with stern severity,' there has been no (great) failure (in the regulation of the family). 
婦子嘻嘻，失家節也。	When 'wife and children are smirking and chattering,' the (proper) economy of the family has been lost.
5 ䷤家人:	Jia Ren:
六四：富家，大吉。	The fourth SIX, divided, shows its subject enriching the family. There will be great good fortune.
象傳:	Xiang Zhuan:
富家大吉，順在位也。	'The family is enriched, and there is great good fortune:' - this is due to the docility (belonging to the subject of the line), and its being in its correct place.
6 ䷤家人:	Jia Ren:
九五：王假有家，勿恤，往吉。	The fifth NINE, undivided, shows the influence of the king extending to his family. There need be no anxiety; there will be good fortune.
象傳:	Xiang Zhuan:
王假有家，交相愛也。	'The influence of the king extends to his family:' - the intercourse between them is that of mutual love.
7 ䷤家人:	Jia Ren:
上九：有孚威如，終吉。	The topmost NINE, undivided, shows its subject possessed of sincerity and arrayed in majesty. In the end there will be good fortune.
象傳:	Xiang Zhuan:
威如之吉，反身之謂也。	'The good fortune connected with the display of majesty' describes (the result of) the recovery of the true character.
^yb38 ䷥睽:	Kui:
睽：小事吉。	Kui indicates that, (notwithstanding the condition of things which it denotes), in small matters there will (still) be good success.
彖傳:	Tuan Zhuan:
睽，火動而上，澤動而下；	In Kui we have (the symbol of) Fire, which, when moved, tends upwards, and that of a Marsh, whose waters, when moved, tend downwards. 
二女同居，其志不同行；	We have (also the symbols of) two sisters living together, but whose wills do not move in the same direction. 
說而麗乎明，	(We see how the inner trigram expressive of) harmonious satisfaction is attached to (the outer expressive of) bright intelligence; 
柔進而上行，得中而應乎剛；	(we see) the weak line advanced and acting above, and how it occupies the central place, and is responded to by the strong (line below). 
是以小事吉。	These indications show that 'in small matters there will (still) be good fortune.' 
天地睽，而其事同也；	Heaven and earth are separate and apart, but the work which they do is the same. 
男女睽，而其志通也；	Male and female are separate and apart, but with a common will they seek the same object. 
萬物睽，而其事類也；	There is diversity between the myriad classes of beings, but there is an analogy between their several operations. 
睽之時用大矣哉！	Great indeed are the phenomena and the results of this condition of disunion and separation.
象傳:	Xiang Zhuan:
上火下澤，睽；	(The trigram representing) fire above, and that for (the waters of) a marsh below, form Kui. 
君子以同而異。	The superior man, in accordance with this, where there is a general agreement, yet admits diversity.
2 ䷥睽:	Kui:
初九：悔亡，	The first NINE, undivided, shows that (to its subject) occasion for repentance will disappear. 
喪馬勿逐，自復；	He has lost his horses, but let him not seek for them - they will return of themselves. 
見惡人无咎。	Should he meet with bad men, he will not err (in communicating with them).
象傳:	Xiang Zhuan:
